in:Index,out:Result,out:EveningAverageSunhoursLoss,out:MaxSunhoursLoss,out:AverageSunhoursLoss,out:Volume,img
1500,1.25,0.10916,9,0.252504,157753.588894,{30;0}_OptimizationIsoViewSW.png
1501,2.75,0.182112,18,0.472541,238777.459408,{30;1}_OptimizationIsoViewSW.png
1502,1.25,0.095994,9,0.221359,152905.198777,{30;2}_OptimizationIsoViewSW.png
1503,3,0.205042,16,0.492235,237247.924081,{30;3}_OptimizationIsoViewSW.png
1504,2.75,0.174685,18,0.444829,235571.260306,{30;4}_OptimizationIsoViewSW.png
1505,1.25,0.098835,9,0.221219,146455.770357,{30;5}_OptimizationIsoViewSW.png
1506,1.25,0.095994,9,0.221359,152905.198777,{30;6}_OptimizationIsoViewSW.png
1507,2.75,0.184476,17,0.469615,235571.260306,{30;7}_OptimizationIsoViewSW.png
1508,2.5,0.177104,14,0.415963,222518.914108,{30;8}_OptimizationIsoViewSW.png
1509,1.5,0.145932,10,0.360905,196656.833825,{30;9}_OptimizationIsoViewSW.png
1510,2.25,0.160336,14,0.408226,214500.2145,{30;10}_OptimizationIsoViewSW.png
1511,1.5,0.117348,9,0.283705,175623.463295,{30;11}_OptimizationIsoViewSW.png
1512,2.25,0.160336,16,0.390783,217722.62138,{30;12}_OptimizationIsoViewSW.png
1513,1.75,0.104012,11,0.240969,154535.620461,{30;13}_OptimizationIsoViewSW.png
1514,1.25,0.122187,10,0.287081,173973.556019,{30;14}_OptimizationIsoViewSW.png
1515,2.25,0.171393,15,0.426176,220896.841175,{30;15}_OptimizationIsoViewSW.png
1516,2.25,0.127335,13,0.303314,186950.831931,{30;16}_OptimizationIsoViewSW.png
1517,2,0.143315,16,0.35058,204750.20475,{30;17}_OptimizationIsoViewSW.png
1518,1.5,0.118248,14,0.278078,169118.89058,{30;18}_OptimizationIsoViewSW.png
1519,2,0.163319,14,0.399167,211237.853823,{30;19}_OptimizationIsoViewSW.png
1520,1.75,0.13223,9,0.316987,188536.953243,{30;20}_OptimizationIsoViewSW.png
1521,1.75,0.135325,12,0.331026,199960.007998,{30;21}_OptimizationIsoViewSW.png
1522,1.5,0.104968,9,0.235652,156201.187129,{30;22}_OptimizationIsoViewSW.png
1523,2.25,0.167089,17,0.418383,222518.914108,{30;23}_OptimizationIsoViewSW.png
1524,2,0.130852,11,0.327228,193461.017605,{30;24}_OptimizationIsoViewSW.png
1525,2,0.126632,11,0.306296,191791.331032,{30;25}_OptimizationIsoViewSW.png
1526,1.25,0.109695,10,0.245077,154535.620461,{30;26}_OptimizationIsoViewSW.png
1527,2.25,0.15606,15,0.380571,216169.47687,{30;27}_OptimizationIsoViewSW.png
1528,1.75,0.124578,9,0.299263,183755.972069,{30;28}_OptimizationIsoViewSW.png
1529,2,0.146016,12,0.361383,206398.348813,{30;29}_OptimizationIsoViewSW.png
1530,2.75,0.179693,16,0.456364,227376.080036,{30;30}_OptimizationIsoViewSW.png
1531,1.5,0.116081,9,0.269975,164284.540825,{30;31}_OptimizationIsoViewSW.png
1532,2.25,0.1452,13,0.369598,206398.348813,{30;32}_OptimizationIsoViewSW.png
1533,1.25,0.110849,10,0.254276,159413.358839,{30;33}_OptimizationIsoViewSW.png
1534,1.5,0.106009,9,0.234948,162680.982593,{30;34}_OptimizationIsoViewSW.png
1535,2,0.153641,18,0.378995,220896.841175,{30;35}_OptimizationIsoViewSW.png
1536,1.75,0.138223,11,0.333558,203128.173878,{30;36}_OptimizationIsoViewSW.png
1537,1.5,0.118276,14,0.281144,170765.027322,{30;37}_OptimizationIsoViewSW.png
1538,2.25,0.167089,14,0.426542,217722.62138,{30;38}_OptimizationIsoViewSW.png
1539,1.5,0.144047,12,0.347147,188536.953243,{30;39}_OptimizationIsoViewSW.png
1540,2.25,0.160336,16,0.390783,217722.62138,{30;40}_OptimizationIsoViewSW.png
1541,2.25,0.150405,13,0.363324,209643.60587,{30;41}_OptimizationIsoViewSW.png
